model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s
kalm-12b,C1a,react,nominal,none,0.5980350792456175,0.018789453672167767,0.7145720056006297,0.012851201050444079,0.29945884239329346,0.014795608741594817,0.528710404770861,0.02313504555939308,0.7279927290547236,0.7853656645415892,0.6448195269215745,0.2339623964645831,0.026311727513689757,0.009006919075892968,0.016344582384320128,0.031629617857834344,6338,3840,22.9
kalm-12b,C1a,react,ordinal,none,0.612381393040718,0.014788292730183785,0.7086507024108262,0.00913385657487626,0.29756883669165596,0.009826369725261696,0.5163976726300721,0.01602340997894243,0.7260571390940422,0.7814560786577218,0.6201788865606909,0.321833467850417,0.03052757360343604,0.006438540814470548,0.017949942300454,0.04607507543975533,6338,3840,131.0
kalm-12b,C1a,javascript,nominal,none,0.5415734678193151,0.01261877923932668,0.7755662668478607,0.010913311031210236,0.23350932055900944,0.011089299708786129,0.5223092212160471,0.023778014247298588,0.694410726921344,0.8455247503788174,0.5542662280784814,0.07209216589861751,0.030973376127327618,0.008364349901149381,0.01465743328616896,0.04138831361093484,6338,3840,17.5
kalm-12b,C1a,javascript,ordinal,none,0.5669612503873896,0.03139463715236619,0.7708288677343572,0.010761741724384542,0.23256494015770382,0.009856266268059181,0.5017956824401939,0.02436495348106471,0.6972004911393727,0.8482645130149258,0.49011751477983656,0.23226248261542376,0.016288248997366615,0.006670268533988018,0.029496163935795353,0.10307685105268584,6338,3840,130.3
kalm-12b,C1a,html_css,nominal,none,0.5902252498847022,0.017888226885710713,0.8260454719951029,0.007115522467015294,0.1782904548612062,0.007437889936983993,0.631073740666635,0.015257350680789468,0.7342321482449835,0.8781680066345103,0.7121372082956783,0.03636363636363636,0.0192028981170252,0.005335803714649813,0.01214983392717616,0.07272727272727272,6338,3840,16.3
kalm-12b,C1a,html_css,ordinal,none,0.5744451358713641,0.02447708691689189,0.810303424277703,0.011188775884618737,0.19012471398444872,0.01145999055590982,0.5920690985147077,0.0252553138854714,0.6954463662843267,0.8715704995338319,0.6749944468980675,0.05576923076923077,0.030113952808292738,0.007628956881443603,0.022510214079499713,0.06890951102757276,6338,3840,127.8
kalm-12b,C1b,react,nominal,concat,0.5645318871989173,0.021463327391490906,0.6983418218064876,0.010288086112203462,0.31965683113442667,0.01272213548927305,0.5009248009428434,0.018085479083554623,0.7023600162282705,0.7768518238433059,0.6276392216966441,0.1512764870274498,0.034599023279693844,0.01009083156268138,0.015586736667829226,0.053937118791341776,6338,7680,34.5
kalm-12b,C1b,react,ordinal,concat,0.589421703234726,0.014450026869575128,0.6984424585711657,0.009246771428188558,0.3048294612823954,0.010113401904193358,0.5012638966964906,0.015280424271978702,0.7167784099435865,0.7754081859735231,0.6097800218781269,0.25572019514366806,0.013132608353053007,0.008682766939094966,0.018900579287422482,0.06500015841415772,6338,7680,249.2
kalm-12b,C1b,react,nominal,average,0.5578353762063296,0.015322791840034506,0.6814341757028728,0.00896578804010332,0.3340138781343445,0.008729728790098605,0.4748975649508539,0.017358191486495204,0.7029426750090269,0.7579874079260295,0.6020444534383934,0.1683669684518684,0.02853837004072812,0.010623129808399696,0.013170062125396563,0.03250320627545873,6338,3840,13.5
kalm-12b,C1b,react,ordinal,average,0.5641191725878173,0.0062622293493856986,0.6636925828533691,0.003340918252745071,0.3464806704528196,0.004374828926190725,0.4452836052578932,0.006049165237246622,0.684176444922026,0.7425655596538144,0.5641606474041767,0.26557403837125215,0.012929303800683311,0.005575126161458064,0.005734308287713735,0.015671489892416735,6338,3840,124.7
kalm-12b,C1b,javascript,nominal,concat,0.5245232531707195,0.029793102541838184,0.7656540451843992,0.010786471931343293,0.2410840331740693,0.011288126310355345,0.49327425326537727,0.02280446404290987,0.6839774987354621,0.8421766127632384,0.5109702402155162,0.06096866096866097,0.01624714495492881,0.007830656402706117,0.03431516404471351,0.08961642507732194,6338,7680,31.9
kalm-12b,C1b,javascript,ordinal,concat,0.5470806302225768,0.01757008024248485,0.7705486277268638,0.011337449764789075,0.23145897186279224,0.011669398222730932,0.49887918537351367,0.029370819452119785,0.6993981777242658,0.8503053921113943,0.4807951962653746,0.15782375478927202,0.03364924960631939,0.007550724621035305,0.018722242428063935,0.0475380636670755,6338,7680,247.2
kalm-12b,C1b,javascript,nominal,average,0.5090192992898726,0.011876582426716248,0.7492661052311356,0.005185435568098062,0.2603363966148705,0.0057963551308417875,0.4653704386905385,0.013723747100956332,0.667552073235705,0.8271078862258369,0.4870312727856678,0.05438596491228069,0.015887770498170056,0.0035126289077129893,0.02432063305836723,0.045746042700282145,6338,3840,9.9
kalm-12b,C1b,javascript,ordinal,average,0.5360814319092222,0.015266246220576962,0.7468925235589514,0.0067893217789019465,0.2593896509054151,0.00930018057089844,0.4519865377247358,0.017071272502011653,0.6671659359645045,0.831455653140921,0.4357736818913289,0.20993045664013404,0.02535148700451957,0.00382050545151564,0.019924122950388246,0.04833883244079217,6338,3840,125.6
kalm-12b,C1b,html_css,nominal,concat,0.5621758578435344,0.012176889210364084,0.8066266551602487,0.013835602879758787,0.19643423571914082,0.015711948994921694,0.5891946485254665,0.028303278328437414,0.7076130038792376,0.8646024226526292,0.6764880048422712,0.0,0.025693775528928316,0.011270536703688992,0.02663846087846834,0.0,6338,7680,28.8
kalm-12b,C1b,html_css,ordinal,concat,0.5879875559227897,0.049134207574975185,0.8109554166227193,0.012334572022981449,0.18775616909712453,0.011968738588850506,0.5923485013064973,0.026060660689473967,0.704055011915363,0.8721533739511713,0.6707418378246244,0.10500000000000001,0.03965634954891195,0.009273733846767369,0.015849840820003756,0.15524174696260024,6338,7680,238.2
kalm-12b,C1b,html_css,nominal,average,0.5485341628927826,0.021328598069240843,0.7881284289540693,0.011512273018671497,0.2155236418774073,0.013058230172524606,0.5497464106286737,0.02375789050258831,0.665584303981564,0.8518778649400716,0.6481030540780666,0.02857142857142857,0.03300460904788475,0.009678654909495854,0.01811264015194742,0.05714285714285714,6338,3840,8.9
kalm-12b,C1b,html_css,ordinal,average,0.5550606789654784,0.049493814142791866,0.777023185496819,0.009284661453053036,0.22451778836218592,0.0073458721591140065,0.5229638561397986,0.023492180033252808,0.6453384976511416,0.8456335905506964,0.6221999205893685,0.10707070707070707,0.04090242381563548,0.0052965492977151245,0.019425820538671142,0.17232216656271612,6338,3840,124.5
kalm-12b,C2a,react,nominal,none,0.6036396165898091,0.002930977111608279,0.7274387125406409,0.010589045906350913,0.2892089662607466,0.013074428368852512,0.5468860325932938,0.017888168243478834,0.76154197300007,0.8052346385897049,0.6414419599228937,0.20633989484656806,0.016765413651149183,0.01128956673004588,0.026729749189851337,0.02016510800924108,6338,3840,16.0
kalm-12b,C2a,react,ordinal,none,0.6093629690245077,0.018150625443271288,0.7084093875174189,0.015764148194729096,0.29867281314812555,0.015312423505374229,0.5173585906967465,0.0249155607625781,0.7364059734039006,0.7835167594087065,0.613521399213319,0.30400774407210457,0.01996827570602508,0.013544100655539138,0.02985719902651348,0.03903590381294496,6338,3840,119.6
kalm-12b,C2a,javascript,nominal,none,0.5711419962068314,0.014024914110437287,0.8024770027584577,0.004439993420243537,0.2033765396288707,0.006417895231835011,0.5763286405026999,0.010819937420817105,0.7379986961883038,0.8663856834157228,0.5958035730171793,0.08438003220611916,0.012345758003028394,0.004784538270877079,0.030405003913728572,0.05523701532887174,6338,3840,12.7
kalm-12b,C2a,javascript,ordinal,none,0.592121564559652,0.023473297107630547,0.792055604933843,0.013793115284741768,0.21189364080679418,0.01352343013401471,0.5478665226336297,0.029993774929932947,0.7325142943028696,0.8632914890796897,0.5291101778930931,0.24357029696295546,0.027788330068719072,0.010200230515232776,0.029074818487017207,0.07736130594946873,6338,3840,119.0
kalm-12b,C2a,html_css,nominal,none,0.5856418444545056,0.009642143455933748,0.8314372057638029,0.00767787985759472,0.17118805693670186,0.00786838834193535,0.6411423723557783,0.019378357213747952,0.741165267414556,0.8836044027483888,0.7177977076550781,0.0,0.024958886262711928,0.004406672898367777,0.01604144587167108,0.0,6338,3840,13.1
kalm-12b,C2a,html_css,ordinal,none,0.5824558109206355,0.02558757218096837,0.8087792741227997,0.005813754814819638,0.192174066761445,0.007205654914858453,0.5885013846426655,0.01181766189815728,0.7012440514365303,0.8710479073922528,0.6654724613243472,0.09205882352941178,0.030305799609465143,0.004891790302949221,0.01726771935969646,0.08787967552422013,6338,3840,118.1
kalm-12b,C2b,react,nominal,concat,0.5690382166746409,0.0129922812451788,0.7133957847559973,0.014350248361499094,0.30561573950736853,0.019995658540388737,0.525685934907508,0.023578135308712188,0.7396469911839387,0.7930266770900923,0.6399619346218812,0.10351726380265144,0.019313826058594108,0.01833471631117645,0.016966356431118674,0.06387408171930989,6338,7680,26.0
kalm-12b,C2b,react,ordinal,concat,0.5962030319548242,0.011981730624522399,0.6998264795337301,0.009653222078964012,0.30719364902312774,0.008682001070261248,0.5031727692777148,0.01704962806229748,0.7186976702397209,0.7734149177800926,0.6141148608365201,0.27858467896296296,0.016627303177949648,0.0067167111418374205,0.027497334860607802,0.03271219877267037,6338,7680,226.7
kalm-12b,C2b,react,nominal,average,0.5569690961405297,0.004727547732392922,0.6929226155803412,0.00733100013142333,0.3284968591197568,0.011527444017732806,0.4907108508595785,0.013458906319513615,0.7174328436004311,0.7726625224771697,0.6142868903901684,0.12349412809434959,0.015040633184307277,0.007101139246851142,0.018304254921414475,0.03011781385157366,6338,3840,12.1
kalm-12b,C2b,react,ordinal,average,0.5665259255425423,0.014004229264630522,0.6710064930384438,0.011625303201805461,0.3401680364705619,0.010976141575574184,0.45643368008998575,0.01982238633988795,0.679175045310613,0.7504294901423855,0.5777632614740893,0.25873590524308226,0.014881228327957274,0.009746178367879723,0.02022848170879798,0.046266112036966546,6338,3840,121.4
kalm-12b,C2b,javascript,nominal,concat,0.5439213457891134,0.011873857736161625,0.7832231524316444,0.004301149016627991,0.222151484293109,0.003879101038978166,0.533799004461357,0.011361990560145595,0.7232516565437667,0.8534954006870599,0.5389716671973586,0.05996665872826863,0.009189147283475156,0.0036648783607399283,0.022189750303145916,0.050711580192200116,6338,7680,28.5
kalm-12b,C2b,javascript,ordinal,concat,0.579544146015761,0.031937863100548004,0.783362586426662,0.00459879013526959,0.21978530471393465,0.00528755463843903,0.5275915084683606,0.0116284881483332,0.7230815331915513,0.8566297133704577,0.5112622723669352,0.22720306513409963,0.028512684118807773,0.004525838219005046,0.03242238499401805,0.1157211812424229,6338,7680,225.1
kalm-12b,C2b,javascript,nominal,average,0.5243084440837811,0.0170310453236519,0.7625104335665225,0.010768037783734068,0.2448726343806254,0.009613223272039501,0.48901897991980486,0.025758384964125712,0.6886012226056074,0.8391747610161163,0.4976805234532934,0.07177726926010679,0.027158796604842345,0.006361029742167426,0.02476706048516497,0.06428011348547634,6338,3840,8.8
kalm-12b,C2b,javascript,ordinal,average,0.5382530546302353,0.027727310152831582,0.7572599983705441,0.007594600669979632,0.2500809184367056,0.008108414981865066,0.4730864761096732,0.018743491735315608,0.6843456385951001,0.8380884889918366,0.4620741163712065,0.16850397456279811,0.01832715457280301,0.004772115028099983,0.03551463980481239,0.09742048899689171,6338,3840,122.2
kalm-12b,C2b,html_css,nominal,concat,0.5587217367627942,0.011723751181806318,0.8031009869713539,0.010226178985436747,0.20069602304557077,0.010204448728264997,0.5824472522316896,0.023107796632749845,0.701485756981414,0.8618143451434215,0.6715868449263411,0.0,0.032340851058214944,0.007138124457092611,0.018148728091352248,0.0,6338,7680,23.6
kalm-12b,C2b,html_css,ordinal,concat,0.5814988041572507,0.021222324550254953,0.8009840233692209,0.004038514146936379,0.1988021581569519,0.004434805048754381,0.5712406116811029,0.01021933923149015,0.6921930425501346,0.8646900248842501,0.6524454825279516,0.11666666666666667,0.024670945814741527,0.0020676927807730724,0.0071861259820679224,0.06476453075908482,6338,7680,223.6
kalm-12b,C2b,html_css,nominal,average,0.5478627556473379,0.032313264227682076,0.7742013018876455,0.0113996163161386,0.22956921514095993,0.010604294953995062,0.5196282507931923,0.026749382277465747,0.6484610784192275,0.841905144658849,0.6202767187031941,0.0808080808080808,0.04029924166147035,0.007606566066776664,0.018149563795331822,0.09979061846649268,6338,3840,9.4
kalm-12b,C2b,html_css,ordinal,average,0.5458864366466487,0.023890578162226936,0.7664692346230756,0.01020014307065945,0.23619456775860911,0.010135922738986544,0.5018016008724485,0.021217108114708037,0.6400652432353856,0.8370349974268916,0.6021468633903813,0.10429864253393666,0.01983653604399929,0.008044238134734588,0.01694553639377177,0.09551799341587106,6338,3840,124.3
kalm-12b,C3,react,nominal,none,0.5346188534282981,0.01001810335604975,0.6642856024035677,0.012184621197000884,0.3614678853398201,0.017176694625503725,0.4473552629524791,0.019330350174632856,0.652398541171353,0.7374650003747762,0.6069385671792975,0.14167330498776542,0.020889939318435073,0.013395558938375848,0.014696179723658342,0.011242175552863403,6338,3840,19.4
kalm-12b,C3,react,ordinal,none,0.5201680091472676,0.0168953762710026,0.6250152788024296,0.01580463708059806,0.39397319483416704,0.01479378570860374,0.3825227413666892,0.026739671540652724,0.6331427411505596,0.7088750251776059,0.5231294412670403,0.21552482899386471,0.015517434680313125,0.01440005989342441,0.022608642084103268,0.029667490996836247,6338,3840,125.3
kalm-12b,C3,javascript,nominal,none,0.48571504813200345,0.02055031223038461,0.7284187158113165,0.008779278068647084,0.2841607762194408,0.007374231235174539,0.42195409343747575,0.021168598533275258,0.6092628009974252,0.8123839143155761,0.47373199573353075,0.04748148148148148,0.01332146630544118,0.005035471542429702,0.02933052697178025,0.03888176301556943,6338,3840,15.7
kalm-12b,C3,javascript,ordinal,none,0.5030791188344433,0.01743706760176985,0.7206401408383585,0.008739301846069261,0.28841808190937634,0.008731558927074713,0.39753040450736316,0.018655291866729776,0.5979365991028873,0.8116371590830284,0.42254578321770875,0.18019693393414876,0.02035781097557007,0.009103871679311027,0.035865584059634664,0.07150109012850721,6338,3840,126.0
kalm-12b,C3,html_css,nominal,none,0.5298960838712606,0.012708287485247256,0.7773894869182577,0.013334834189275656,0.2253119094510244,0.015213295777311928,0.5248363443562407,0.02695629019922258,0.645335556645011,0.8449352041602898,0.6293135746797416,0.0,0.028653715266115196,0.011899369015812091,0.024124359128759976,0.0,6338,3840,15.4
kalm-12b,C3,html_css,ordinal,none,0.5368062751691705,0.016794464039224053,0.7665929049815982,0.010816378861320699,0.23508971987282115,0.010528559079185332,0.5018625958191741,0.025224532028489326,0.644994470488177,0.8382270888466635,0.5973368746751748,0.06666666666666668,0.027349642524536925,0.007491441676412422,0.02663973924914729,0.08432740427115679,6338,3840,125.6
kalm-12b,C4,react,nominal,none,0.5457693379464515,0.02013595996220393,0.668154084272311,0.015417509461175401,0.352952651510436,0.01537978384809899,0.4539880983373947,0.02547024339517335,0.6813201279018044,0.7411772889296768,0.597906107251154,0.1626738277031707,0.025305028192879386,0.012193893029732599,0.02359283243028233,0.044407170005869585,6338,3840,12.0
kalm-12b,C4,react,ordinal,none,0.5285856780260374,0.01398260016635406,0.6302624170913942,0.0118527035195908,0.3873428626204129,0.012340028225473584,0.3888191036590392,0.020427914516366337,0.6306959492324327,0.7135179928685778,0.5300814784109542,0.24004729159218482,0.02873436898475537,0.013013208310537254,0.01933115969902591,0.048162821825338265,6338,3840,123.4
kalm-12b,C4,javascript,nominal,none,0.4825691684633061,0.020716655353704736,0.7233586702808731,0.011670323897789043,0.28652284763182856,0.013454955327574498,0.4084470240644709,0.022857459533950138,0.6217857124698384,0.8100914817212678,0.43360022662757125,0.06479925303454714,0.014478803786522982,0.00897813577099593,0.024655570272112792,0.05340802987861811,6338,3840,9.5
kalm-12b,C4,javascript,ordinal,none,0.48873581217574424,0.019142651442287478,0.7153794826554657,0.01055276566559598,0.2963092478569063,0.013286778996161397,0.3826058925683896,0.023882784132078613,0.6042814280788387,0.810137944904685,0.38695320044999837,0.15357067526945492,0.021212807030091,0.006585705537678189,0.0306130389898523,0.04149289152986292,6338,3840,123.5
kalm-12b,C4,html_css,nominal,none,0.5234570217139872,0.01744621081957515,0.7612160003139306,0.012741479520971084,0.24439882581123845,0.013506676996589183,0.4930332495230075,0.0277714716906572,0.6261151129347451,0.8318912034473701,0.6024884371405006,0.03333333333333333,0.030562593485094214,0.010119743312365776,0.020663526243719442,0.06666666666666667,6338,3840,9.5
kalm-12b,C4,html_css,ordinal,none,0.5123355893257866,0.014150741090179246,0.7474511174183992,0.009402519587324423,0.2555991823503196,0.00934941892064328,0.4566135309221271,0.020846115108451843,0.6099645787202361,0.8281350150416431,0.5543800184432282,0.056862745098039215,0.03214929675216147,0.006081380602634089,0.018248825241838677,0.07134668783788334,6338,3840,123.8
