model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
qwen3-8b,C1a,react,nominal,none,0.5952406242074216,0.013060517605629056,0.71047967529683,0.009652978516343155,0.30671996494364345,0.006502815096749958,0.521442787822959,0.017110792153646984,0.7278361327285288,0.7805805815479525,0.6399654025674958,0.23258037998570957,0.022346564397642953,0.00920376350225469,0.013626850774093374,0.045346421529348604,6338,4096,31.7,"[0.597083564265668, 0.5993234473699359, 0.5707350817162521, 0.609993755368726, 0.5990672723165262]"
qwen3-8b,C1a,react,ordinal,none,0.6045460474189621,0.015913223230717324,0.700337293620167,0.0077020931099354715,0.30562034563376567,0.009200740971420604,0.5046137229936548,0.013353970239386366,0.7424521056604931,0.7743455086541488,0.60082967194716,0.3005569034140463,0.024058264266822834,0.007018951816695048,0.02306585043851457,0.06432225846910934,6338,4096,139.7,"[0.6277639739784706, 0.6009752636878922, 0.6174003730061518, 0.5850607848924538, 0.5915298415298416]"
qwen3-8b,C1a,javascript,nominal,none,0.5443041873025176,0.025099430536844762,0.7798469245840606,0.007847078132200126,0.22688396794136026,0.0060265115227631175,0.527438056213965,0.019627806842417925,0.7006364473316842,0.8515677736457302,0.5471942944923833,0.07781823374027272,0.023153018816758568,0.004465641267887363,0.009013201188591786,0.07636691307183845,6338,4096,21.7,"[0.5331869763588157, 0.5214586894756533, 0.552558053610729, 0.524710193188454, 0.5896070238789359]"
qwen3-8b,C1a,javascript,ordinal,none,0.571370617168169,0.032817103480279976,0.7671657716882117,0.012531499984010772,0.2360338512943215,0.013294577906480599,0.493529625614499,0.027647333475863414,0.6745722624003486,0.8454459291534,0.499481872426845,0.2659824046920821,0.03131687715102515,0.007981875484848588,0.02445844392843184,0.09309449226593923,6338,4096,136.9,"[0.5726863725957424, 0.5177943685051519, 0.6093991501135559, 0.5565181869678498, 0.6004550076585448]"
qwen3-8b,C1a,html_css,nominal,none,0.5632849405030986,0.015113746389841493,0.8089181237592158,0.01478683330756449,0.19438177069457896,0.016053318448120902,0.5946488313388847,0.031659559337563196,0.7019838069402262,0.8662330084979256,0.6849229465742421,0.0,0.033810920262596314,0.011386909641851715,0.023502370169691176,0.0,6338,4096,25.1,"[0.545108916662957, 0.547902777409998, 0.5831421856055657, 0.5767300978794749, 0.5635407249574969]"
qwen3-8b,C1a,html_css,ordinal,none,0.5818159278802337,0.024139183513006188,0.8055383022359297,0.011025505145318411,0.19406793165006384,0.011133820875728636,0.5803797970758874,0.023457878713743732,0.7012531727211327,0.8685105100394317,0.6579588681665784,0.09954116059379217,0.02972373606821148,0.00883469078214696,0.016617757019055723,0.08511819219077175,6338,4096,138.3,"[0.597305080908257, 0.5949992840560775, 0.5628562901701358, 0.6093102909129997, 0.5446086933536988]"
qwen3-8b,C1b,react,nominal,concat,0.5799027475656029,0.011242774634436133,0.7049943003543004,0.0036833600401295933,0.31397822422623306,0.008695495979216166,0.5116297351130685,0.008008317298151876,0.719619388053405,0.7763860968861046,0.639270518027238,0.18433498729566442,0.012757710661734086,0.005607363050115972,0.009877032745837936,0.04397219341343714,6338,8192,36.9,"[0.5641676207559563, 0.5858689414304312, 0.571509744863374, 0.5965149760695128, 0.5814524547087403]"
qwen3-8b,C1b,react,ordinal,concat,0.5992765242052733,0.016604836650417357,0.6984589172526691,0.011564122434972426,0.30830073772716293,0.012722888893514674,0.5005615241702884,0.019206074436465298,0.7211932610572654,0.7727647392460393,0.6070948486991596,0.29605324781862924,0.03228058917299947,0.009793209939303582,0.026020496967168082,0.03684665783060728,6338,8192,277.3,"[0.628330482812266, 0.5919351858590269, 0.5887231517543285, 0.6060851440329538, 0.5813086565677916]"
qwen3-8b,C1b,react,nominal,average,0.5731535923914166,0.012043718278230219,0.6931463390905761,0.007456672445890711,0.32502110103849474,0.008485246635510002,0.4929926092586072,0.014750360718857686,0.6994954022663434,0.7660966520097404,0.6237409903590512,0.20328132493053133,0.028460132149362483,0.006146245164599836,0.006076604202279826,0.02408377199226071,6338,4096,17.3,"[0.5616822779127609, 0.5779733230899213, 0.5565340064921508, 0.5882133987021587, 0.5813649557600915]"
qwen3-8b,C1b,react,ordinal,average,0.5668824627219465,0.01340660398027856,0.6715891503559858,0.006726595580809964,0.33906654981214474,0.007161090091576932,0.4558626432580798,0.013060384172196996,0.6790579944904881,0.7492397348278593,0.5823056137255376,0.2569265078439013,0.036401576243294195,0.0038655235168783397,0.022438512637593284,0.029908493583339524,6338,4096,144.5,"[0.5749725284345297, 0.5569488927012134, 0.5683458030848033, 0.586208199210433, 0.5479368901787532]"
qwen3-8b,C1b,javascript,nominal,concat,0.5217795950224755,0.022700668741251095,0.7592909024784632,0.010255233034704244,0.2486575008901028,0.013334097723719067,0.48104072991194774,0.022079357768376825,0.6654354446928281,0.8376310646941686,0.5066605663550792,0.07739130434782608,0.023433112221522782,0.009094945638463126,0.018300007238576017,0.0743160369364226,6338,8192,38.1,"[0.4852878379357496, 0.523568525616338, 0.5159210823992906, 0.5281890729778606, 0.5559314561831388]"
qwen3-8b,C1b,javascript,ordinal,concat,0.5582283962398734,0.027299898749728848,0.769940077206641,0.0053086345548294285,0.2325664340365353,0.005308351135077191,0.49619616138702743,0.013699540598808162,0.6872128460242178,0.8495172255784922,0.48964190681517705,0.20654160654160653,0.011537332863356894,0.004124179244678229,0.024303586891155294,0.11109917915980692,6338,8192,274.1,"[0.580324448462594, 0.5328609289772949, 0.5994149368415486, 0.54874630019318, 0.5297953667247498]"
qwen3-8b,C1b,javascript,nominal,average,0.5205485506016733,0.01675233632724414,0.7476999920741597,0.002452765888202343,0.2622281451751448,0.004944447152757906,0.45897230287961105,0.00583629019187902,0.6575666867634178,0.8280160699481163,0.4766892809034293,0.11992216479173004,0.01585626814980564,0.0041923437719797165,0.011376746012538234,0.07069991145423712,6338,4096,14.0,"[0.5539027171713617, 0.5111253023513003, 0.5152724122917882, 0.5110370642992159, 0.5114052568947006]"
qwen3-8b,C1b,javascript,ordinal,average,0.5449779175913992,0.02240182242389542,0.7494114975902526,0.00771160731601023,0.25670328329669184,0.007278602211529798,0.4541741758271708,0.01628424426265579,0.658284126763214,0.8323114176395873,0.45764936792686955,0.2316667580359264,0.0208996585461411,0.007324963760789505,0.022432188974059086,0.07142841677656807,6338,4096,142.4,"[0.5152911027888766, 0.5606189809257036, 0.5466402487349027, 0.5767021610192964, 0.5256370944882172]"
qwen3-8b,C1b,html_css,nominal,concat,0.5520468813316155,0.013390794088897819,0.7996836021794824,0.011378188415242307,0.20242693065165485,0.011353733238303562,0.5728814499976977,0.024896150540676957,0.6780194529960292,0.8608241975169821,0.6693438748134506,0.0,0.040057794764996275,0.00812923916884606,0.020080603675935532,0.0,6338,8192,34.3,"[0.5411643475679919, 0.5312627653587995, 0.5631816497141698, 0.5599258080925653, 0.564699835924551]"
qwen3-8b,C1b,html_css,ordinal,concat,0.5880693570345464,0.02081130709500739,0.8119379620056147,0.003891768977814023,0.1871263746797497,0.004760177367171004,0.5935165555973136,0.006237136772424159,0.7017273705182167,0.8727289121179161,0.6747908424717497,0.10303030303030303,0.020871266599265414,0.004669195897572627,0.011932076102069492,0.08690156765544205,6338,8192,290.5,"[0.611100946558205, 0.6061304390920805, 0.5655304476190977, 0.5965234126309498, 0.5610615392723991]"
qwen3-8b,C1b,html_css,nominal,average,0.5469745250957659,0.03108173485950483,0.7845234659242337,0.015932492289661825,0.22025488062663237,0.01787912819833015,0.5423901294535207,0.03507895550554977,0.6538646332197253,0.849188592116502,0.6448448750468361,0.04,0.037202877973853646,0.01093636074903991,0.028580096238754814,0.08,6338,4096,13.4,"[0.5088885338359013, 0.5248313850975908, 0.5503710329291724, 0.5502611728426408, 0.6005205007735243]"
qwen3-8b,C1b,html_css,ordinal,average,0.5507920932324325,0.025962319851187684,0.7840841881042283,0.007972727887819726,0.21615878936059496,0.008625679074314116,0.5351741713055361,0.015055276593454542,0.6476366349957214,0.8529148275718296,0.6319402186328558,0.07067669172932331,0.026167402106136838,0.008187439879747222,0.0171002996645587,0.08916671928044266,6338,4096,139.0,"[0.5709599853478472, 0.5317542897972282, 0.5394993003105056, 0.5906718718804382, 0.5210750188261433]"
qwen3-8b,C2a,react,nominal,none,0.6062821870139452,0.012119906388801784,0.7324122113584224,0.009569463947191562,0.27926658018768097,0.009568805237085587,0.5579651600516862,0.015164528113452645,0.7587314687944636,0.8071349068373609,0.6567502734913429,0.2025120989326133,0.015934054383012385,0.012579693587686876,0.018266111578857665,0.060736766737344544,6338,4096,20.7,"[0.6029248100082445, 0.5950591636327719, 0.594928230132568, 0.6273741622569405, 0.611124569039201]"
qwen3-8b,C2a,react,ordinal,none,0.6073639982921002,0.020919150117671894,0.7116078311016409,0.008961790128224593,0.29441550745819,0.009216624380643459,0.5235002493844073,0.014650073568678042,0.7439892000142022,0.7859543494023155,0.6202584425952191,0.2792540011566638,0.01467246181186809,0.006594912566779406,0.02108218708699173,0.08038189447742985,6338,4096,138.3,"[0.6199066085429722, 0.5750009076992078, 0.6157011354746509, 0.6336960324492603, 0.5925153072944095]"
qwen3-8b,C2a,javascript,nominal,none,0.5608234867518231,0.012538992852047643,0.7908276711571076,0.01064825692635213,0.2159954586083523,0.012217493762379019,0.5501088368626874,0.020865501347280494,0.7266989637541258,0.8588256320561112,0.5606387040664089,0.09713064713064713,0.02881743065938948,0.00876368874674908,0.034047396894740525,0.06921537041286575,6338,4096,22.1,"[0.5441351833826583, 0.5773617770166459, 0.5664903722978648, 0.5484010538957099, 0.5677290471662372]"
qwen3-8b,C2a,javascript,ordinal,none,0.5805290153013972,0.024010359929048517,0.7847670720699675,0.011550137597182097,0.21899367342314863,0.010435840772661215,0.5320042471625814,0.025079227109046438,0.7151187782709499,0.8583537051120347,0.5211893116586607,0.2274542661639436,0.02131580644368106,0.005242010834585222,0.03500233754470603,0.04772441443813153,6338,4096,147.0,"[0.6016119995750637, 0.5414511752333446, 0.5694093974179644, 0.6085666994382001, 0.5816058048424131]"
qwen3-8b,C2a,html_css,nominal,none,0.6021268390147966,0.033712433890977334,0.8235392467501473,0.009955258642978741,0.17954979471615057,0.010859815404943839,0.6244821741914732,0.022654431206484738,0.718333692790625,0.8769684495965233,0.709675801907332,0.1035294117647059,0.036950047000826505,0.007959931000768404,0.01539953665876091,0.1550800663838502,6338,4096,16.5,"[0.6618782375627092, 0.5622892814018607, 0.5818587848932677, 0.5947367923154494, 0.6098710989006957]"
qwen3-8b,C2a,html_css,ordinal,none,0.5942878949812459,0.031790788253520635,0.8130137297167821,0.008019769099865497,0.18807324487910787,0.008265087413063851,0.5995418212408252,0.018108333120427447,0.7115357484930092,0.8719540869164322,0.6777373180648003,0.11592442645074223,0.024837217999927903,0.0056952242557839925,0.021223386662444277,0.11518706799037824,6338,4096,138.9,"[0.57993099026996, 0.5638783225088972, 0.6218141413493377, 0.5640743828243828, 0.6417416379536518]"
qwen3-8b,C2b,react,nominal,concat,0.5927006647594902,0.019538700232299033,0.7183371542862426,0.0048067200832900584,0.30025059817398214,0.008170515913523059,0.5350326727602757,0.009612683047317525,0.7450001232700646,0.7893488857737406,0.6496651336431756,0.1867885163509804,0.008563777621504605,0.003957209171745361,0.008761610338265535,0.07718027178586702,6338,8192,31.7,"[0.5755464217249731, 0.5921625294139301, 0.5772470291874616, 0.6295973330352589, 0.5889500104358277]"
qwen3-8b,C2b,react,ordinal,concat,0.6018748573291081,0.011120932395941752,0.70627253140435,0.012108618342367915,0.2986764233553017,0.012256989161080912,0.5133992938225219,0.019159731454037668,0.7350062755738367,0.7822044254435114,0.6130537777150771,0.27723495058400716,0.01510026174677576,0.01226359830017824,0.027076715910831557,0.04400151440809905,6338,8192,283.7,"[0.5967239049075586, 0.587273306697486, 0.6127307204839083, 0.6168401452230545, 0.5958062093335332]"
qwen3-8b,C2b,react,nominal,average,0.5897056742240224,0.026117805629022668,0.711047586466186,0.017522750746173002,0.3024543184302321,0.019937174689090464,0.5225582857124711,0.02879738748980375,0.7383004370019287,0.7835761966512452,0.6363366113591333,0.20060945188378215,0.022910028175687783,0.014206200221072857,0.022816154378206433,0.06984856602257682,6338,4096,19.0,"[0.5672403112854864, 0.5619117061321861, 0.5811037332121649, 0.6319266112138542, 0.6063460092764201]"
qwen3-8b,C2b,react,ordinal,average,0.5866558474033796,0.01488085628176443,0.6907419729666769,0.009152644815831213,0.3176072293776252,0.009312450015438973,0.48854294629355666,0.013327714762452572,0.7110697962563871,0.7657266999857114,0.6020524112164065,0.26777448215501315,0.02087319704778796,0.010092827483698299,0.01499353274783387,0.04961115905492536,6338,4096,140.4,"[0.5863933414544391, 0.566455790804032, 0.5867893211803275, 0.6125117027925464, 0.5811290807855529]"
qwen3-8b,C2b,javascript,nominal,concat,0.524373269480374,0.01222321991326413,0.7726456431287231,0.007046102387568291,0.23508847497379487,0.00979091503856257,0.5138453821418322,0.015260256622168789,0.7059306720921267,0.845645275920212,0.523694907686935,0.02222222222222222,0.010988886705710377,0.0081942185882323,0.015418174020731104,0.04444444444444444,6338,8192,25.6,"[0.508989984841668, 0.5459704256398933, 0.5238771840479813, 0.5178157087602786, 0.5252130441120486]"
qwen3-8b,C2b,javascript,ordinal,concat,0.5630943898897549,0.018735211769244767,0.7755170408127195,0.006039272678956649,0.22672686168424877,0.005580639008913389,0.5103627814922168,0.016671860661236552,0.6992399989932349,0.8521249458117699,0.5050052887466893,0.196007326007326,0.01682841306677369,0.003372817793801069,0.021722944103815235,0.06352015908855067,6338,8192,276.6,"[0.5406475956626565, 0.5913542522265478, 0.5714303861788618, 0.5679147213720313, 0.5441249940086778]"
qwen3-8b,C2b,javascript,nominal,average,0.529345318083616,0.020938273929823382,0.7752135482911384,0.009229777699065182,0.23130423091383054,0.011104715671775036,0.5165300237753684,0.024240057288817875,0.7083996460062445,0.8488558393920986,0.5219439687543026,0.038181818181818185,0.011538696949013317,0.004633029967002508,0.04926681072161188,0.04685126809718228,6338,4096,14.7,"[0.5139893687192023, 0.5571431992261444, 0.5457950518175764, 0.5306406938414763, 0.4991582768136805]"
qwen3-8b,C2b,javascript,ordinal,average,0.542697153064412,0.014460479131683747,0.7607578022477781,0.010493255851893545,0.24439857683143318,0.01100496657379505,0.4805586553025565,0.02458427131759716,0.6827785822094544,0.8414073182355809,0.4716254886000951,0.17497722321251732,0.019688448721852134,0.00843667290049216,0.03957585448108635,0.04301360744341891,6338,4096,137.1,"[0.5191944256594632, 0.5453613061116381, 0.5641976233431898, 0.5457985586218924, 0.538933851585876]"
qwen3-8b,C2b,html_css,nominal,concat,0.5786640835417753,0.016447113980107383,0.8129610732364542,0.008470380918995817,0.1912280679914052,0.00851588315830779,0.6040523417149501,0.018881404374145993,0.712343978677527,0.8691481782241048,0.6887197328210248,0.04444444444444444,0.02848001586403002,0.0065970470361648575,0.010142248225292512,0.08888888888888888,6338,8192,26.7,"[0.6079461923854006, 0.5666521672495979, 0.5828166411874218, 0.5607381775496408, 0.5751672393368152]"
qwen3-8b,C2b,html_css,ordinal,concat,0.5732093211555138,0.02499385643210722,0.8077115732397377,0.00834858362699818,0.1920169605043335,0.008412550683115087,0.5866253377025592,0.016877784155430006,0.6987712597429472,0.8694978339847907,0.6677054457962783,0.056862745098039215,0.024072124359628393,0.006942795538386287,0.014120074258955128,0.07134668783788334,6338,8192,284.7,"[0.5571739617944, 0.5451107577132167, 0.6080355564027534, 0.5576070659253336, 0.5981192639418657]"
qwen3-8b,C2b,html_css,nominal,average,0.5709919973138737,0.025603202443089123,0.8088385715637392,0.011341736034865945,0.19375035790847003,0.012054982811790533,0.5936483716002605,0.02515629995163739,0.6909556746479472,0.8670255130795764,0.6859868015279711,0.04,0.027844824587784024,0.008290445674954081,0.01628168754843281,0.08,6338,4096,13.0,"[0.5397791290077645, 0.555962978569547, 0.5762013725233168, 0.5669264081008797, 0.6160900983678606]"
qwen3-8b,C2b,html_css,ordinal,average,0.5747835495963349,0.02572829474077062,0.8017463352847226,0.012722539566976013,0.1986444294503273,0.013397976562806661,0.5739582228736788,0.02616136462378486,0.6927732262216768,0.8651560310228916,0.6551976151334451,0.08600732600732601,0.025563001395629784,0.009546166367373673,0.025204068979846294,0.07052415112808667,6338,4096,139.0,"[0.586524866591831, 0.5346879041590089, 0.6055224066645409, 0.5911481375248037, 0.5560344330414901]"
qwen3-8b,C3,react,nominal,none,0.5601880745417134,0.01117384930947455,0.6788933611439953,0.009589507567362102,0.3430110123767861,0.011280032760004605,0.4708601243137801,0.015591780913744043,0.6801501852862749,0.7510683238986594,0.6118716614508509,0.19766212753106868,0.018926950620126785,0.010545520826931392,0.012127387385045738,0.04411416985832335,6338,4096,19.6,"[0.5579163186318911, 0.5721585932139005, 0.542381808501631, 0.5721756598935366, 0.5563079924676081]"
qwen3-8b,C3,react,ordinal,none,0.5325566823994696,0.013578335541567252,0.6440796911803719,0.012902811676720662,0.3726770806619875,0.012851956520637387,0.40957257462034713,0.021842342839826223,0.6489627237085865,0.731016616675071,0.541498138917514,0.20874925029670757,0.025670921456865378,0.012763651539849772,0.019488028395189913,0.03150598042980007,6338,4096,136.2,"[0.524264475067231, 0.5549815642065555, 0.5248179919399634, 0.5409762972128997, 0.5177430835706991]"
qwen3-8b,C3,javascript,nominal,none,0.5085725990300899,0.0035192353276704957,0.7343002640191754,0.011514932170652562,0.27800313216595,0.010439250430406057,0.4340909288946647,0.02546901767995556,0.6444331638980063,0.8157359043937753,0.45619125789850823,0.11793006993006994,0.025329377349759964,0.007228095549126194,0.03579686886242624,0.044049896354803074,6338,4096,17.1,"[0.506385166967398, 0.5134636631993011, 0.5036832444298682, 0.5078049174925717, 0.5115260030613106]"
qwen3-8b,C3,javascript,ordinal,none,0.4967953604163675,0.009666729697617034,0.724723332704472,0.008521031665812468,0.28636686178384074,0.007475808075914305,0.40690594142436165,0.017685003944029137,0.6327855219062598,0.8140971757567284,0.40569914073083135,0.13459960327165024,0.023980856614572346,0.0073191573842876865,0.010689225316629082,0.048891788132749144,6338,4096,139.5,"[0.4855973435499551, 0.48922300469719154, 0.5084139172672535, 0.508242960125595, 0.4924995764418424]"
qwen3-8b,C3,html_css,nominal,none,0.5337510263001113,0.018662685993774117,0.7618904358477324,0.006702216266996356,0.24171806024813325,0.0076043211883936365,0.4949502340353192,0.013536781899188456,0.6343887918970186,0.8316340675580994,0.6018483786124601,0.06713286713286713,0.0277065401975681,0.005722511517426022,0.018825483710767876,0.08269507971521389,6338,4096,14.6,"[0.5555510666877769, 0.5149802048498358, 0.5303839448473, 0.5126773184722522, 0.5551625966433918]"
qwen3-8b,C3,html_css,ordinal,none,0.5398298764937446,0.03174132272988765,0.7573351634333768,0.010273696517161018,0.24424333792286107,0.010987099063924656,0.4806232011534589,0.022083945809333365,0.6380463325584034,0.8317656147619665,0.5757820684585295,0.11372549019607843,0.030236897079879223,0.008370328606204711,0.029685758815570184,0.14269337567576668,6338,4096,139.9,"[0.5604255281741607, 0.5185589483202145, 0.5263256462488515, 0.5909538844240337, 0.5028853753014622]"
qwen3-8b,C4,react,nominal,none,0.542424013816969,0.01167999723415802,0.6670326624315989,0.009613054362688304,0.3531067700098845,0.013395068773006731,0.45006626813319317,0.013460982438942311,0.6975332146634224,0.744307252030357,0.5838105066257893,0.14404508194830776,0.012508735458220009,0.01437847382368829,0.0066889229393065535,0.041078055644716616,6338,4096,18.2,"[0.5210272057642124, 0.5430692072832904, 0.5481779924661521, 0.5561797957197154, 0.543665867851475]"
qwen3-8b,C4,react,ordinal,none,0.5410058239198392,0.016934816854310593,0.6474016821511823,0.011280984353923967,0.37440811275797425,0.012909576405059908,0.4170079250750388,0.01828953161907299,0.6624926952090213,0.7284709484534828,0.5497996658632696,0.22325998615358283,0.027656840208442633,0.009880189205211448,0.015888373037234626,0.039779316037997475,6338,4096,137.8,"[0.5392841178621799, 0.5441251892371333, 0.536402602519849, 0.5690180534520571, 0.5161991565279765]"
qwen3-8b,C4,javascript,nominal,none,0.49642011320733487,0.014481678881486274,0.7208432616681042,0.006068138221100874,0.28889114353934753,0.009095659951121998,0.40184133718980586,0.008624743358261485,0.6121620056485133,0.8070680105802559,0.43616472231485626,0.13028571428571428,0.013229924236059246,0.007740578217427703,0.01920712265942919,0.04945929864264375,6338,4096,15.2,"[0.4809223859302517, 0.5114985163964845, 0.5160981391607491, 0.4888381775290128, 0.4847433470201764]"
qwen3-8b,C4,javascript,ordinal,none,0.49372311564237525,0.010243965202179833,0.7149974239041825,0.006886802173596565,0.2982019923364016,0.006244339734565346,0.3871734378715594,0.01371551190539998,0.5978490693930825,0.8051775286106645,0.4165904210550164,0.1552754435107376,0.01991382198883815,0.005685843380110946,0.008266375864629283,0.05926913166724094,6338,4096,137.9,"[0.48371166263115417, 0.4898972119989002, 0.4994578623251674, 0.5108914691061311, 0.4846573721505232]"
qwen3-8b,C4,html_css,nominal,none,0.5181648731350104,0.009457647891756434,0.7636843296770333,0.009622807398305854,0.2396650972639609,0.010697451852910898,0.4962130041950406,0.021464558622820474,0.6379157826190228,0.834803593894469,0.5999401160265491,0.0,0.018834903612532993,0.007411755337889633,0.02154882446556763,0.0,6338,4096,14.9,"[0.5015912319046559, 0.5209376214769076, 0.5295804550206866, 0.5233388247283569, 0.5153762325444442]"
qwen3-8b,C4,html_css,ordinal,none,0.5124327660174745,0.014791075282022663,0.7449746315513791,0.006095560910146151,0.258283184650893,0.005712868916585257,0.454869765628578,0.014209708337242506,0.6079504613965387,0.8227679270545346,0.5615767781829268,0.05743589743589743,0.034078655804471954,0.004809862090597643,0.011186738929240336,0.07064277069834898,6338,4096,135.6,"[0.5274430250388188, 0.48869478825935025, 0.5102197495983165, 0.5288651770069522, 0.5069410901839344]"
