model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,mae_mean,kappa_mean,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean
jina-v5-small,C2a,javascript,ordinal,none,0.5296989790453586,0.0086991429385884,0.7542606113583503,0.2453415878438099,0.4566433327098576,0.6520041634558547,0.8407815333864986,0.4610271093902955,0.164983109948785
qwen3-4b,C2a,javascript,nominal,none,0.5296267489046936,0.026140055875544,0.7558290411615536,0.2527554595046796,0.4799106076943705,0.6664610825307102,0.8311282983364432,0.5112778631988262,0.109639751552795
qwen3-0.6b,C1a,javascript,ordinal,none,0.529415841663079,0.0200800590357972,0.7673505710088497,0.2295641110549523,0.4847533234967908,0.670074842506317,0.8517749865899775,0.484771439557402,0.1110420979986197
openai-small,C2b,javascript,ordinal,concat,0.5288606039090451,0.0200783361914777,0.746889278029718,0.2592285609714196,0.4530780543297835,0.6485851313796117,0.8299345148778532,0.4665080228349365,0.1704147465437788
gemini,C3,javascript,ordinal,none,0.5280353312628115,0.0232306868432784,0.7327605931926565,0.271535632744828,0.4198271120870216,0.6228814618016119,0.8220108116371245,0.4262233839951908,0.2410256676173191
cohere,C1a,javascript,ordinal,none,0.5260019346117527,0.0220861549117613,0.7450297342555123,0.2619113183729668,0.4432484739981057,0.6587821392699441,0.8313845401479778,0.4335915766403876,0.1802494823887014
jina-v5-small,C1a,javascript,ordinal,none,0.5245137059223913,0.0270039868527795,0.7613983035891388,0.2374544055731639,0.4725327786031805,0.6639011918066106,0.8467204732383591,0.4736046073332068,0.1138285513113888
qwen3-4b,C2b,javascript,ordinal,concat,0.5198277745454629,0.0113382480700767,0.7431151080821105,0.2617522202774133,0.4410884643632617,0.6259965345630314,0.8298268651742738,0.4645294376759407,0.1589582607686055
gemini,C4,javascript,ordinal,none,0.5192297709738158,0.0099135981597708,0.732393085905551,0.2754807177589826,0.4203256375016679,0.621469315970421,0.8201335461344159,0.4381192520934572,0.1971969696969697
qwen3-0.6b,C1b,javascript,ordinal,average,0.5184124799996136,0.0227470133503465,0.7450739626823234,0.2510226845500561,0.434421171329641,0.644991851980006,0.8379214328594886,0.4153203672163763,0.1754162679425837
cohere,C2b,javascript,ordinal,concat,0.5134198021150229,0.0099396157204617,0.733925232580439,0.2767452861898371,0.4266488733242582,0.6468488796107602,0.8210575799042298,0.4198142629866158,0.1659584859584859
qwen3-0.6b,C4,javascript,ordinal,none,0.5130032626001423,0.0250601862200808,0.744896739596378,0.2530745271251049,0.4334622051069653,0.6256078202787215,0.8361165097685888,0.4464791965437351,0.1438095238095237
voyage,C4,javascript,ordinal,none,0.5093156780486536,0.0284436677818735,0.7490239778577649,0.2473947998077875,0.444912356482454,0.6475536739414554,0.8395490819852925,0.4380546931099717,0.1121052631578947
qwen3-8b,C3,javascript,nominal,none,0.5085725990300899,0.0035192353276704,0.7343002640191754,0.27800313216595,0.4340909288946647,0.6444331638980063,0.8157359043937753,0.4561912578985082,0.1179300699300699
jina-v5-small,C3,javascript,ordinal,none,0.5079096915826136,0.0085044067447059,0.7405337841000218,0.2560733643894143,0.422245960185,0.6235535116345887,0.8338688304788378,0.4283812480412945,0.1458351761757334
qwen3-0.6b,C3,javascript,ordinal,none,0.507779396870782,0.0217708528325651,0.745171483433233,0.2502362818351803,0.4301252992398746,0.6431593809300705,0.8407310945108396,0.4060262838848684,0.1412008281573498
openai-small,C4,javascript,ordinal,none,0.5049474752052208,0.0154525907504753,0.7342224921781945,0.2712196773719683,0.4220760467915303,0.6336084747984748,0.8232054243784436,0.4273613711763929,0.1356146304675716
kalm-12b,C3,javascript,ordinal,none,0.5030791188344433,0.0174370676017698,0.7206401408383585,0.2884180819093763,0.3975304045073631,0.5979365991028873,0.8116371590830284,0.4225457832177087,0.1801969339341487
cohere,C1b,javascript,nominal,concat,0.501181307242314,0.0173620596346287,0.737220784147869,0.2728003256655852,0.4362651571197064,0.6449701990758104,0.8188034162952169,0.4644577749560526,0.0764938386421762
openai-small,C3,javascript,ordinal,none,0.4985223550859602,0.0102015959032734,0.7321002310841995,0.27374134483952,0.4168212366291987,0.6201479637152639,0.8217135789297817,0.4353194527903704,0.1169084249084249
qwen3-4b,C3,javascript,ordinal,none,0.4967831035292769,0.0194171364563743,0.7204505606724299,0.2915735274711868,0.3970044685921765,0.6134368168328436,0.8114060003533099,0.4077532560788237,0.1545363408521303
qwen3-8b,C4,javascript,nominal,none,0.4964201132073348,0.0144816788814862,0.7208432616681042,0.2888911435393475,0.4018413371898058,0.6121620056485133,0.8070680105802559,0.4361647223148562,0.1302857142857142
jina-v5-small,C1b,javascript,nominal,concat,0.4955530402293108,0.0196088544334735,0.727145581072479,0.284630850091749,0.4221951289540729,0.6125780508069864,0.8088893103917586,0.4761042768426812,0.084640522875817
kalm-12b,C4,javascript,ordinal,none,0.4887358121757442,0.0191426514422874,0.7153794826554657,0.2963092478569063,0.3826058925683896,0.6042814280788387,0.810137944904685,0.3869532004499983,0.1535706752694549
openai-large,C4,javascript,nominal,none,0.4869013924726526,0.0289288170105351,0.7227697759403326,0.2892077213617203,0.4103850745442236,0.6005399692540726,0.807878306307112,0.4627234073392231,0.0764638869902027
cohere,C4,javascript,ordinal,none,0.4861967369100027,0.0224801922734974,0.7127661768634714,0.2966218420023952,0.3767572560814954,0.5924404801561244,0.8064364929888743,0.40032586136526,0.145584113129752
openai-large,C3,javascript,ordinal,none,0.4849141346994229,0.013545858931538,0.7046917056121884,0.309715440980582,0.3658921138466589,0.5610288071246867,0.7977901080788481,0.4185015725484287,0.1623360510457284
qwen3-4b,C4,javascript,nominal,none,0.4789719401593772,0.0250292131379188,0.7008021167470266,0.3144535266744513,0.3666886172196341,0.5629288433301618,0.79058662897482,0.4270922450433304,0.1352800432891966
jina-v5-small,C4,javascript,ordinal,none,0.4757641076159745,0.0207788777725321,0.7182799141560186,0.2778486401967936,0.3690960614242985,0.5738641096594034,0.8224967988513063,0.3789484863800662,0.1277470355731225
jina-v5-small,C2b,javascript,nominal,concat,0.4740659735139097,0.0156665318137775,0.7154071697586011,0.3013563174890884,0.39963994300669,0.6116043072576496,0.7999117473292563,0.4406898684542398,0.0440579710144927
cohere,C3,javascript,ordinal,none,0.4672189964576357,0.0107286621807435,0.7114848870903387,0.296466603093823,0.3681438940212588,0.6065745539034626,0.8081996976742808,0.3714737326247976,0.0826280016280016
voyage,C2a,react,ordinal,none,0.6622865018367908,0.0091315131720454,0.7584623797810487,0.2417170643289123,0.6000037960503409,0.7921884035944574,0.8214571773147649,0.6840941566877368,0.3514062697502046
voyage,C1a,react,ordinal,none,0.6489959127787446,0.0111471739315432,0.7444776169025442,0.2562298481970127,0.5775184349587124,0.7797526738273568,0.8058409433990537,0.6724020597548633,0.3379879741337044
gemini,C2a,react,ordinal,none,0.6168088148122175,0.0190915114288591,0.7177034789078661,0.2877896568809304,0.5331623689034741,0.7312461733758737,0.7897506567715438,0.6351218341627497,0.3111165949387026
gemini,C1a,react,ordinal,none,0.6128228197601978,0.0192860244266517,0.7108835446664961,0.2928358550837941,0.5213816592423446,0.7360093269191117,0.7831123016213807,0.622176194438018,0.3099934560622808
kalm-12b,C1a,react,ordinal,none,0.612381393040718,0.0147882927301837,0.7086507024108262,0.2975688366916559,0.5163976726300721,0.7260571390940422,0.7814560786577218,0.6201788865606909,0.321833467850417
openai-large,C1a,react,nominal,none,0.6103875647213896,0.0204552812578785,0.7236057305684032,0.2892061029929862,0.5426295904005392,0.7549130207577575,0.7943567379290627,0.645722565518334,0.2465579346804041
openai-large,C2b,react,ordinal,concat,0.6098393471227019,0.0117428774038888,0.7118888504097389,0.2917325010768377,0.5228036734427508,0.7353656030521076,0.7840566384667442,0.6264427629020847,0.2934923840698716
voyage,C1b,react,ordinal,average,0.609748970087441,0.0117069417389153,0.7160298245344728,0.2849491707727586,0.5280707562298025,0.7414186863812771,0.7876064497057198,0.6339318850908771,0.2760388591718899
kalm-12b,C2a,react,ordinal,none,0.6093629690245077,0.0181506254432712,0.7084093875174189,0.2986728131481255,0.5173585906967465,0.7364059734039006,0.7835167594087065,0.613521399213319,0.3040077440721045
openai-large,C2a,react,nominal,none,0.6082010908999431,0.0226054450088355,0.728704448807961,0.2851007994741547,0.5508128822973284,0.7613316278359241,0.8028857446009742,0.6482862173459946,0.2203007738168799
qwen3-8b,C2a,react,ordinal,none,0.6073639982921002,0.0209191501176718,0.7116078311016409,0.29441550745819,0.5235002493844073,0.7439892000142022,0.7859543494023155,0.6202584425952191,0.2792540011566638
voyage,C2b,react,ordinal,concat,0.6073450555041997,0.0142775356668108,0.7056606024083121,0.3004100697392434,0.5128441102335618,0.740599970614307,0.7791261879545713,0.6112958353208178,0.2983582281271028
openai-small,C2a,react,ordinal,none,0.6066151585239546,0.0133712743436907,0.7082046111491633,0.2996200568171915,0.5158863388219798,0.7439134003171379,0.7784015815918265,0.6222582442424746,0.2818874079443795
qwen3-8b,C1a,react,ordinal,none,0.6045460474189621,0.0159132232307173,0.700337293620167,0.3056203456337656,0.5046137229936548,0.7424521056604931,0.7743455086541488,0.60082967194716,0.3005569034140463
qwen3-8b,C2b,react,ordinal,concat,0.6018748573291081,0.0111209323959417,0.70627253140435,0.2986764233553017,0.5133992938225219,0.7350062755738367,0.7822044254435114,0.6130537777150771,0.2772349505840071
openai-small,C1a,react,ordinal,none,0.6015686865567804,0.0163784107942453,0.7015024592045721,0.3034065416954031,0.5063777853138496,0.747264435687879,0.77348562755136,0.6074680188448267,0.2780566641430558
openai-large,C1b,react,ordinal,concat,0.6012143529618826,0.0178306581573874,0.7016777498283763,0.3045140038691462,0.5060469583530331,0.7303498333046805,0.7760227045726119,0.6090905592585191,0.289394314711719
gemini,C2b,react,ordinal,average,0.6010016236664448,0.0114987483261171,0.6964138257713517,0.3130324744359985,0.4968061112047048,0.7108817458118745,0.7672130750407506,0.6124043088137567,0.3135073649993978
qwen3-8b,C1b,react,ordinal,concat,0.5992765242052733,0.0166048366504173,0.6984589172526691,0.3083007377271629,0.5005615241702884,0.7211932610572654,0.7727647392460393,0.6070948486991596,0.2960532478186292
qwen3-0.6b,C2a,react,ordinal,none,0.5977338521163033,0.0179759848478631,0.7034535479640568,0.3019856139468527,0.5067993164086747,0.7315859356029948,0.7744073395174638,0.6212651056822562,0.2636770276624983
kalm-12b,C2b,react,ordinal,concat,0.5962030319548242,0.0119817306245223,0.6998264795337301,0.3071936490231277,0.5031727692777148,0.7186976702397209,0.7734149177800926,0.6141148608365201,0.2785846789629629
qwen3-0.6b,C1a,react,ordinal,none,0.5954769722715613,0.0224805556732857,0.6963987694493039,0.3064013952828286,0.493112580526368,0.7229716300503259,0.7693646696046279,0.6075076920303151,0.282063897400976
gemini,C1b,react,ordinal,concat,0.5938427920982507,0.0130927838357925,0.6856178539500435,0.3262851715097388,0.4803858063405808,0.7247222073155903,0.7592061664441623,0.5853068643384765,0.3061359302947737
qwen3-4b,C1a,react,nominal,none,0.5934221442290175,0.0079998960687881,0.7086729219649861,0.3097185532281477,0.517838202965319,0.7324804174515567,0.7804076306917401,0.6326696143549515,0.2281309144178217
kalm-12b,C1b,react,ordinal,concat,0.589421703234726,0.0144500268695751,0.6984424585711657,0.3048294612823954,0.5012638966964906,0.7167784099435865,0.7754081859735231,0.6097800218781269,0.255720195143668
voyage,C4,react,ordinal,none,0.5891045493161728,0.0104645418578619,0.701223176076456,0.3018268893210072,0.5027739382408691,0.7097902489048072,0.774404779409781,0.6254399611385584,0.2467832078115449
qwen3-0.6b,C4,react,ordinal,none,0.5886307831541977,0.0248840271984897,0.6914901215321814,0.311450705733258,0.4854155175423637,0.6985464114946487,0.7650934723223739,0.6092837440611517,0.2815995047386169
cohere,C1a,react,ordinal,none,0.5877566182789564,0.0143021459353707,0.685419460669879,0.3202892398397566,0.4783707377221321,0.7248414864645788,0.758754040593265,0.5894041877550127,0.2780267583029691
qwen3-4b,C2a,react,ordinal,none,0.5843791308297477,0.0154980768169129,0.6772208917143928,0.331966268215985,0.4661010708997872,0.6993494634420074,0.7536535890169149,0.5776190537236493,0.3068944171364188
voyage,C3,react,ordinal,none,0.5837870521565001,0.0170646577044583,0.6986983412907366,0.3024594225162397,0.4992379489842136,0.7201469346314155,0.7727085239680642,0.6187866536481443,0.2235060963783763
cohere,C2a,react,ordinal,none,0.5835600064610189,0.0183322503816017,0.6896552347607716,0.3171335452981408,0.4847607901989025,0.7310507400233114,0.7697962859056522,0.5848958180078729,0.2484971819072395
jina-v5-small,C1a,react,ordinal,none,0.5828691888580787,0.0141263098792936,0.6936554134048759,0.3070365427660163,0.4907756215670266,0.7360356247301436,0.7685582443348269,0.602117305193195,0.2247655811741492
qwen3-4b,C1b,react,ordinal,concat,0.5819384959779056,0.0152046706780257,0.6791299698515824,0.3310172816882822,0.4696626210823023,0.7171616154417956,0.7578140192437315,0.572563812067442,0.2802145371586528
openai-small,C2b,react,ordinal,average,0.5797386925378275,0.0136812930207676,0.6825131808386554,0.3261274428031143,0.4719586593357192,0.7154301093732052,0.7602903455256725,0.5831410076591246,0.2600933075933075
gemini,C4,react,ordinal,none,0.5784092237021442,0.0213556265596563,0.678825967226883,0.328968924830507,0.4667759800178242,0.6964010691729169,0.7530196532337976,0.59021650027872,0.2739996721231422
qwen3-0.6b,C2b,react,ordinal,average,0.576334108131939,0.0163758238280313,0.6905490831337596,0.311609928318714,0.4842036267853917,0.7060112620718326,0.7677346578676423,0.6057360910927989,0.2258544214954821
cohere,C1b,react,ordinal,average,0.5729596362536019,0.0230167871088632,0.6735770383520615,0.3349609973135079,0.4581465358880012,0.6970996920778981,0.7491500579418998,0.5803876759024084,0.2652011190922014
openai-small,C1b,react,ordinal,average,0.5727546065757572,0.0153651554826972,0.6785824254665418,0.3303843750233419,0.4666285445258248,0.7325652127761236,0.7540862094357654,0.5786677488990624,0.2256992551920776
jina-v5-small,C2a,react,ordinal,none,0.5715571823894746,0.0175886918269988,0.6767159731207596,0.327544884834391,0.4617068538800574,0.6857711394019154,0.7507956722128805,0.594400473544374,0.2552614443987287
openai-small,C4,react,ordinal,none,0.5715489978922175,0.0259602833789272,0.676153926347504,0.3314887249495193,0.4625582788344988,0.6949596507997914,0.7528481958337403,0.5848882267550074,0.2534999181803306
jina-v5-small,C1b,react,ordinal,average,0.566645495745969,0.0117079020585404,0.6780491907132726,0.3272311702797786,0.4634381449415293,0.7067267457773383,0.7534198956670711,0.5905881275197875,0.2158472140196791
qwen3-0.6b,C3,react,ordinal,none,0.5651425833638598,0.0192767442765445,0.6776650992203324,0.3262843000804204,0.4626984776542691,0.676132924091103,0.7542628185033818,0.5986419618199974,0.2315326290409568
qwen3-8b,C3,react,nominal,none,0.5601880745417134,0.0111738493094745,0.6788933611439953,0.3430110123767861,0.4708601243137801,0.6801501852862749,0.7510683238986594,0.6118716614508509,0.1976621275310686
cohere,C2b,react,ordinal,average,0.5588884151620354,0.0156065412878024,0.6714297828524456,0.3357520061547808,0.4525811142666902,0.6914403860730743,0.7537629116707621,0.573732068531684,0.2166182943726211
qwen3-4b,C2b,react,ordinal,concat,0.5567650607661723,0.0202456142847633,0.65519476658247,0.355473198568864,0.4299241658998589,0.6794925679721626,0.7334757880904298,0.5548460261955712,0.2592458608065253
jina-v5-small,C4,react,ordinal,none,0.5545175996480054,0.0195762195893198,0.6703359079989497,0.3360659696891985,0.4494623802281511,0.6492773013877928,0.7487559132372731,0.5964394930556816,0.2235976909112745
cohere,C4,react,ordinal,none,0.5539683966381916,0.0215051953273145,0.6659787630814593,0.344748268967904,0.444837470867505,0.679934254504279,0.7473989632754645,0.5717615654705799,0.2167788033024433
gemini,C3,react,ordinal,none,0.5532749718540565,0.0231388191266267,0.6615417389410705,0.3497928488020336,0.4380723240830105,0.6570997677772239,0.7399578144483735,0.5770754339900955,0.2389668712005332
qwen3-0.6b,C1b,react,ordinal,average,0.5530556924244056,0.011966337024453,0.6748013535273193,0.3284917550337492,0.4574045268890372,0.680434558411194,0.755788360938934,0.5907226173037496,0.1852772330437444
jina-v5-small,C3,react,ordinal,none,0.5528973450783343,0.010803317940644,0.6733948934997709,0.3316505618229305,0.4562275288631595,0.6733311578532942,0.7494196153876203,0.6003325896456891,0.1885060174267335
openai-small,C3,react,ordinal,none,0.5498010041061059,0.0138928339839742,0.6558973382840783,0.3545274487786296,0.429127612082029,0.6667897328521357,0.7315153727771744,0.5704639106387511,0.2304350001563623
qwen3-4b,C3,react,nominal,none,0.5492143584792901,0.0146578093355194,0.6694297347997361,0.3557885314922107,0.4563532461209639,0.6778339273577081,0.7418615257782689,0.6004872318661695,0.176674748915014
kalm-12b,C4,react,nominal,none,0.5457693379464515,0.0201359599622039,0.668154084272311,0.352952651510436,0.4539880983373947,0.6813201279018044,0.7411772889296768,0.597906107251154,0.1626738277031707
qwen3-8b,C4,react,nominal,none,0.542424013816969,0.011679997234158,0.6670326624315989,0.3531067700098845,0.4500662681331931,0.6975332146634224,0.744307252030357,0.5838105066257893,0.1440450819483077
cohere,C3,react,ordinal,none,0.5410547623387963,0.0116587816172932,0.6525093276960208,0.3580024599204758,0.4229733892032394,0.678035406847463,0.7314835496180221,0.5589314567933974,0.1957686360963031
openai-large,C3,react,nominal,none,0.5386229481736262,0.0169671701106445,0.653922723473666,0.3684140484365313,0.4292970375452927,0.6587020375095725,0.7282947710989529,0.5790642449717579,0.1884307391142214
kalm-12b,C3,react,nominal,none,0.5346188534282981,0.0100181033560497,0.6642856024035677,0.3614678853398201,0.4473552629524791,0.652398541171353,0.7374650003747762,0.6069385671792975,0.1416733049877654
jina-v5-small,C2b,react,ordinal,average,0.5295476719271246,0.0208127221250238,0.6437232842285263,0.3635177360764268,0.4023798017356565,0.6132510661674259,0.7250914839413298,0.5660266097083021,0.2138215278914408
openai-large,C4,react,nominal,none,0.5265687841349067,0.0133355224735503,0.6463033380507153,0.3785112999484612,0.4144599593667418,0.6594048508578109,0.7255847980337882,0.5617537236205696,0.1595317640274582
qwen3-4b,C4,react,ordinal,none,0.5260722450506083,0.0141202061921401,0.6233002217621564,0.3947593485692375,0.378187934645376,0.6298192027216606,0.7072480898535634,0.5167862269053967,0.2504354607218131
